CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8149353430139965, T2: 1.544693595867758, T3: 2.197117323556915, FIT: 528362.0739389271, Tiempo de Poblacion: 18.598711490631104,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.549753398887758, T2: 1.0127512394277367, T3: 1.6926357737204236, FIT: 523558.1305057803, Tiempo de Poblacion: 6.764394283294678,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.9190534153380987, T2: 1.9737238725149848, T3: 2.4045809293458733, FIT: 526544.3655990284, Tiempo de Poblacion: 6.118463516235352,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.06396858356572789, T2: 1.8588879713674722, T3: 2.763937153350083, FIT: 527592.3719074302, Tiempo de Poblacion: 6.253739833831787,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.099093126041067, T2: 2.096247897468722, T3: 0.7494433632213722, FIT: 526542.7861266548, Tiempo de Poblacion: 6.858254432678223,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.269531519169909, T2: 2.586436662215439, T3: 1.1994928044330266, FIT: 531120.4398438507, Tiempo de Poblacion: 6.543456315994263,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.4494182602436236, T2: 2.574526827053597, T3: 2.600279624781928, FIT: 547679.836813403, Tiempo de Poblacion: 6.630517244338989,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.9633827964706371, T2: 1.3716364774659187, T3: 2.4470514001748045, FIT: 526984.7154774596, Tiempo de Poblacion: 6.54515814781189,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.7073474832427007, T2: 2.1084866902664223, T3: 0.5422996264023549, FIT: 538245.6220519544, Tiempo de Poblacion: 6.636342525482178,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.089179483404199, T2: 0.25917484723057055, T3: 1.4711007867850676, FIT: 533539.4525833232, Tiempo de Poblacion: 6.285071849822998,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.549753398887758, T2:1.0127512394277367, T3:1.6926357737204236, FIT:523558.1305057803, Tiempo de iteracion: 39.65210151672363,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.549753398887758, T2:1.0127512394277367, T3:1.6926357737204236, FIT:523558.1305057803, Tiempo de iteracion: 38.00359129905701,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.549753398887758, T2:1.0127512394277367, T3:1.6926357737204236, FIT:523558.1305057803, Tiempo de iteracion: 37.612231731414795,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.549753398887758, T2:1.0127512394277367, T3:1.6926357737204236, FIT:523558.1305057803, Tiempo de iteracion: 37.68747329711914,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5674546358917643, T2:0.9961218243457056, T3:1.6884869494729453, FIT:523555.0458442061, Tiempo de iteracion: 37.56598615646362,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.5674546358917643, T2:0.9961218243457056, T3:1.6884869494729453, FIT:523555.0458442061, Tiempo de iteracion: 38.14070415496826,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.5674546358917643, T2:0.9961218243457056, T3:1.6884869494729453, FIT:523555.0458442061, Tiempo de iteracion: 37.931248903274536,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.5674546358917643, T2:0.9961218243457056, T3:1.6884869494729453, FIT:523555.0458442061, Tiempo de iteracion: 38.086214780807495,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5674546358917643, T2:0.9961218243457056, T3:1.6884869494729453, FIT:523555.0458442061, Tiempo de iteracion: 38.87424921989441,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 37.62502145767212,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 38.85908889770508,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 48.90417003631592,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 51.633299112319946,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 53.632911682128906,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6251233857337426, T2:0.9878108129062243, T3:1.6838261904093612, FIT:523219.64786664053, Tiempo de iteracion: 54.12388849258423,
