CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.2701056225084059, T2: 0.9179993962949061, T3: 1.7005096128002712, FIT: 544423.396282487, Tiempo de Poblacion: 16.52772283554077,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.3691678638941576, T2: 0.5790532098569197, T3: 2.2365535268247423, FIT: 533319.1974842253, Tiempo de Poblacion: 5.6597137451171875,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.840381741050122, T2: 2.3544457338536584, T3: 1.5624811389705928, FIT: 534745.179684007, Tiempo de Poblacion: 5.64563250541687,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8391000984747131, T2: 2.5212702531675135, T3: 1.8825353675403445, FIT: 535171.8245037232, Tiempo de Poblacion: 5.7622904777526855,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6234698395264064, T2: 0.40866567698771117, T3: 1.2657677748625422, FIT: 552501.3757496821, Tiempo de Poblacion: 5.793928623199463,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.182571271134295, T2: 1.1976770688421854, T3: 0.4725104174470602, FIT: 547024.7340924419, Tiempo de Poblacion: 5.920376539230347,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.8889401567363033, T2: 1.7809575942207043, T3: 2.0077753058684125, FIT: 534591.5705380188, Tiempo de Poblacion: 6.153522491455078,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6354977428113875, T2: 1.3950291840271125, T3: 2.41407668737234, FIT: 541946.4521239239, Tiempo de Poblacion: 6.287202835083008,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.1414904915360142, T2: 1.4766495573170428, T3: 1.7533749311519742, FIT: 531036.4299068992, Tiempo de Poblacion: 5.970783948898315,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7118209837890448, T2: 2.0718271080426005, T3: 1.3121302898145708, FIT: 532207.8555050234, Tiempo de Poblacion: 5.636534929275513,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.1414904915360142, T2:1.4766495573170428, T3:1.7533749311519742, FIT:531036.4299068992, Tiempo de iteracion: 34.498143672943115,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.063420688569709, T2:1.4948290075066093, T3:1.7513682115905924, FIT:530912.7822484184, Tiempo de iteracion: 32.79977011680603,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 33.93803882598877,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 34.89362931251526,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 34.5369827747345,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 34.92182421684265,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 33.594956159591675,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.052420801034636, T2:1.5016880385102302, T3:1.7465614819989013, FIT:530891.4745136767, Tiempo de iteracion: 33.84346032142639,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.92582941055298,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.0838360786438,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.703548431396484,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.94005084037781,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.47744178771973,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 32.955830574035645,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1386374011405596, T2:0.6013551213017627, T3:2.160137287801402, FIT:530727.1771188639, Tiempo de iteracion: 33.54451584815979,
