CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.18407276174576737, T2: 1.181144674673364, T3: 1.5939512820467563, FIT: 543409.1993278555, Tiempo de Poblacion: 19.599168300628662,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.28970787769952094, T2: 1.1660881895270412, T3: 1.4274257659323866, FIT: 545050.5420763487, Tiempo de Poblacion: 6.855429410934448,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.7711377660059877, T2: 2.4329952562524757, T3: 2.526568623949118, FIT: 547426.3676142858, Tiempo de Poblacion: 6.817098379135132,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.1598951926233056, T2: 1.3866119282798004, T3: 2.7331390825430857, FIT: 531966.1106849565, Tiempo de Poblacion: 6.568678140640259,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.5891388596176554, T2: 2.342996190907309, T3: 1.5557287161686089, FIT: 541970.2369745354, Tiempo de Poblacion: 6.712465524673462,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.5464719694671681, T2: 1.2514901345097917, T3: 2.415270083097611, FIT: 532960.8226839482, Tiempo de Poblacion: 7.002434730529785,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.286041993268895, T2: 2.3269729408489535, T3: 1.3983485050758022, FIT: 537791.3181002772, Tiempo de Poblacion: 7.269968748092651,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.1916496072082061, T2: 0.7627444497261916, T3: 0.8415972736639541, FIT: 548680.0208465086, Tiempo de Poblacion: 6.91810417175293,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.921876311629039, T2: 1.9408544487649704, T3: 2.1142872897895675, FIT: 531461.5239646262, Tiempo de Poblacion: 6.92190957069397,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8530206893054252, T2: 2.1372494667103323, T3: 0.40368141813281316, FIT: 537823.9467527708, Tiempo de Poblacion: 7.1817872524261475,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.921876311629039, T2:1.9408544487649704, T3:2.1142872897895675, FIT:531461.5239646262, Tiempo de iteracion: 42.30531334877014,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.921876311629039, T2:1.9408544487649704, T3:2.1142872897895675, FIT:531461.5239646262, Tiempo de iteracion: 40.30906414985657,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9196405637226542, T2:1.9530420706142197, T3:2.116234477914877, FIT:531457.069671658, Tiempo de iteracion: 41.09633421897888,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9093909988906076, T2:1.9413436029248075, T3:2.0928424558605463, FIT:531346.2384762113, Tiempo de iteracion: 41.05648875236511,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9093909988906076, T2:1.9413436029248075, T3:2.0928424558605463, FIT:531346.2384762113, Tiempo de iteracion: 41.49417543411255,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9093909988906076, T2:1.9413436029248075, T3:2.0928424558605463, FIT:531346.2384762113, Tiempo de iteracion: 41.27486491203308,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.1717189671415702, T2:1.3875474935602696, T3:2.6811839397447406, FIT:531284.1626563652, Tiempo de iteracion: 42.11712431907654,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.1717189671415702, T2:1.3875474935602696, T3:2.6811839397447406, FIT:531284.1626563652, Tiempo de iteracion: 42.62426829338074,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.1717189671415702, T2:1.3875474935602696, T3:2.6811839397447406, FIT:531284.1626563652, Tiempo de iteracion: 43.1832332611084,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.1717189671415702, T2:1.3875474935602696, T3:2.6811839397447406, FIT:531284.1626563652, Tiempo de iteracion: 42.77915835380554,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.1723523815924917, T2:1.3976675804075576, T3:2.641265006078764, FIT:530774.3808573844, Tiempo de iteracion: 39.878499269485474,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1723523815924917, T2:1.3976675804075576, T3:2.641265006078764, FIT:530774.3808573844, Tiempo de iteracion: 45.14233469963074,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5234130475493362, T2:1.2477828207706916, T3:2.643342916996379, FIT:530759.5968065816, Tiempo de iteracion: 43.46134948730469,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1572397351127452, T2:1.4154845976360515, T3:2.630558627468138, FIT:530648.5785091239, Tiempo de iteracion: 43.54648470878601,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1572397351127452, T2:1.4154845976360515, T3:2.630558627468138, FIT:530648.5785091239, Tiempo de iteracion: 45.020307779312134,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1572397351127452, T2:1.4154845976360515, T3:2.630558627468138, FIT:530648.5785091239, Tiempo de iteracion: 45.43919777870178,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 44.25550675392151,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 43.1254186630249,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 44.63756275177002,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 42.714698791503906,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 43.98654913902283,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 43.933305740356445,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 44.60607051849365,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 44.358155250549316,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 44.8964478969574,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1583194272402593, T2:1.3507855987271489, T3:2.519546601931273, FIT:529405.4846664534, Tiempo de iteracion: 43.797807455062866,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.1728702391140442, T2:1.3506290628695554, T3:2.541789197100288, FIT:529089.6061392794, Tiempo de iteracion: 44.27490854263306,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1728702391140442, T2:1.3506290628695554, T3:2.541789197100288, FIT:529089.6061392794, Tiempo de iteracion: 43.12190818786621,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1728702391140442, T2:1.3506290628695554, T3:2.541789197100288, FIT:529089.6061392794, Tiempo de iteracion: 45.763832569122314,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.1728702391140442, T2:1.3506290628695554, T3:2.541789197100288, FIT:529089.6061392794, Tiempo de iteracion: 45.01894569396973,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.1728702391140442, T2:1.3506290628695554, T3:2.541789197100288, FIT:529089.6061392794, Tiempo de iteracion: 44.25816631317139,
