CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.1172239693495856, T2: 2.148226532805999, T3: 1.9523728506645857, FIT: 530480.4255309678, Tiempo de Poblacion: 14.860973358154297,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4397599285385292, T2: 0.21349540351914745, T3: 0.702563835085128, FIT: 550618.9228067944, Tiempo de Poblacion: 4.815911531448364,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.629988369390229, T2: 1.3051489597700103, T3: 1.0496695325577163, FIT: 527909.4453509743, Tiempo de Poblacion: 5.063590049743652,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8173412206664149, T2: 2.3467520750629793, T3: 2.022900259770909, FIT: 535426.3869984184, Tiempo de Poblacion: 4.99811577796936,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.1532070002156302, T2: 1.5263856846027328, T3: 2.1484230004955767, FIT: 530909.8806806995, Tiempo de Poblacion: 5.065232992172241,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.1981078981389368, T2: 0.28127793497558684, T3: 2.6740035674802716, FIT: 534004.6446087065, Tiempo de Poblacion: 4.906620025634766,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.6034935962679888, T2: 2.050823759964214, T3: 2.2704580531124803, FIT: 537216.9786483252, Tiempo de Poblacion: 5.002146005630493,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.8839596492005033, T2: 2.3250663649569567, T3: 1.9584284099563456, FIT: 532376.7845934104, Tiempo de Poblacion: 5.09807014465332,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.9846446935460539, T2: 1.5477596804339981, T3: 2.724431849632266, FIT: 534058.7937292152, Tiempo de Poblacion: 5.0452470779418945,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.1504180153195831, T2: 1.4609987590018687, T3: 0.8288402507902763, FIT: 545926.010330662, Tiempo de Poblacion: 4.937776803970337,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.629988369390229, T2:1.3051489597700103, T3:1.0496695325577163, FIT:527909.4453509743, Tiempo de iteracion: 30.535200834274292,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6383424145379895, T2:1.2890396677091274, T3:1.0615679045336563, FIT:527830.77908317, Tiempo de iteracion: 30.447746753692627,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.6383424145379895, T2:1.2890396677091274, T3:1.0615679045336563, FIT:527830.77908317, Tiempo de iteracion: 29.36453604698181,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6383424145379895, T2:1.2890396677091274, T3:1.0615679045336563, FIT:527830.77908317, Tiempo de iteracion: 28.55731749534607,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.6383424145379895, T2:1.2890396677091274, T3:1.0615679045336563, FIT:527830.77908317, Tiempo de iteracion: 28.782376050949097,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.6383424145379895, T2:1.2890396677091274, T3:1.0615679045336563, FIT:527830.77908317, Tiempo de iteracion: 28.252234935760498,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6014240224854626, T2:1.290949603744502, T3:1.0517855012973507, FIT:527581.9977244003, Tiempo de iteracion: 27.96660089492798,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6014240224854626, T2:1.290949603744502, T3:1.0517855012973507, FIT:527581.9977244003, Tiempo de iteracion: 28.387059211730957,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.6014240224854626, T2:1.290949603744502, T3:1.0517855012973507, FIT:527581.9977244003, Tiempo de iteracion: 28.930764198303223,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.609914789822087, T2:1.2829443305202037, T3:1.0502364619941496, FIT:527546.9670831177, Tiempo de iteracion: 29.106534719467163,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.609914789822087, T2:1.2829443305202037, T3:1.0502364619941496, FIT:527546.9670831177, Tiempo de iteracion: 29.285295486450195,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:2.609914789822087, T2:1.2829443305202037, T3:1.0502364619941496, FIT:527546.9670831177, Tiempo de iteracion: 30.57657504081726,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.609914789822087, T2:1.2829443305202037, T3:1.0502364619941496, FIT:527546.9670831177, Tiempo de iteracion: 30.7738037109375,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.609914789822087, T2:1.2829443305202037, T3:1.0502364619941496, FIT:527546.9670831177, Tiempo de iteracion: 30.966670989990234,
