CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.3188923692389554, T2: 2.400502255866846, T3: 0.08777704497983405, FIT: 534607.3813596448, Tiempo de Poblacion: 14.660946130752563,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.6813786692803684, T2: 2.1613896310799703, T3: 1.9901598912616496, FIT: 533813.0201920078, Tiempo de Poblacion: 4.963450193405151,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5896749429187205, T2: 1.6251288689525236, T3: 2.153741513500893, FIT: 533596.4152939803, Tiempo de Poblacion: 4.877631902694702,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.7354891614995709, T2: 1.3765946660293076, T3: 2.1585008770258063, FIT: 530908.684194126, Tiempo de Poblacion: 4.871645450592041,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6119729068822464, T2: 1.3365822807825551, T3: 2.450055922882868, FIT: 542032.2543039002, Tiempo de Poblacion: 4.84271502494812,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.577897539628566, T2: 0.6606589600655002, T3: 0.631671181706446, FIT: 533766.9689215209, Tiempo de Poblacion: 4.894497871398926,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.6275861126198364, T2: 1.0742119668162058, T3: 1.4164255531352548, FIT: 543429.858642201, Tiempo de Poblacion: 4.956988573074341,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.4422114322610994, T2: 1.0095523832933064, T3: 0.050914432065342984, FIT: 555573.9131329824, Tiempo de Poblacion: 4.662052392959595,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.2221567183976996, T2: 2.2368242198490393, T3: 1.3532800020793119, FIT: 533017.9251781, Tiempo de Poblacion: 4.967358589172363,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.6504084764895373, T2: 1.2887685051265891, T3: 1.8859338151265188, FIT: 539588.0557442134, Tiempo de Poblacion: 4.968187093734741,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.7354891614995709, T2:1.3765946660293076, T3:2.1585008770258063, FIT:530908.684194126, Tiempo de iteracion: 30.598256826400757,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.7354891614995709, T2:1.3765946660293076, T3:2.1585008770258063, FIT:530908.684194126, Tiempo de iteracion: 30.376612663269043,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 29.398439645767212,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 29.85324239730835,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 30.695104598999023,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 30.661442518234253,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 30.546104431152344,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.6642397922193813, T2:2.1501225164963045, T3:2.003885951860881, FIT:529465.4859251468, Tiempo de iteracion: 30.209533214569092,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 30.087880611419678,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 29.934656858444214,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 30.73556923866272,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 30.923664331436157,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 31.165820360183716,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 31.14623737335205,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.6576174583453206, T2:2.1663693605234355, T3:1.9766218149397783, FIT:529287.4235975611, Tiempo de iteracion: 32.097736120224,
