CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.2526870045099336, T2: 0.5024097836643491, T3: 0.17929448283799732, FIT: 552314.1141373746, Tiempo de Poblacion: 15.532484531402588,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.4288109368061155, T2: 0.846683257405098, T3: 0.5108770614568408, FIT: 545610.6641272894, Tiempo de Poblacion: 5.533589124679565,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.0406696905435733, T2: 0.39794509472999523, T3: 1.2538030871445034, FIT: 534766.4993606431, Tiempo de Poblacion: 5.413015365600586,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.383729310095573, T2: 1.7887643235004078, T3: 0.29623210709835324, FIT: 535083.5944123067, Tiempo de Poblacion: 5.64587140083313,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.875742338466565, T2: 0.25666969869625567, T3: 1.3600190506337275, FIT: 535690.7939282795, Tiempo de Poblacion: 5.25592565536499,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.7222415240162873, T2: 2.1554030616844266, T3: 1.2056522572522579, FIT: 535802.0784837785, Tiempo de Poblacion: 5.561786413192749,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.1476751329767139, T2: 0.4121353775490999, T3: 1.0004658816344612, FIT: 550015.5548199954, Tiempo de Poblacion: 5.41670560836792,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.10872722112716801, T2: 2.4401487290596653, T3: 2.5856518051383146, FIT: 536264.6658126373, Tiempo de Poblacion: 5.500773906707764,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.180928450925688, T2: 1.0824741144787016, T3: 2.525468158047839, FIT: 538593.5033928411, Tiempo de Poblacion: 5.495123863220215,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.07313420880288377, T2: 2.072261264172184, T3: 2.648105973079203, FIT: 536188.5806662197, Tiempo de Poblacion: 5.563389301300049,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.0406696905435733, T2:0.39794509472999523, T3:1.2538030871445034, FIT:534766.4993606431, Tiempo de iteracion: 34.28639364242554,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.414474321288461, T2:1.8047444474880667, T3:0.29553752442997727, FIT:530404.3131312337, Tiempo de iteracion: 31.533473253250122,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.414474321288461, T2:1.8047444474880667, T3:0.29553752442997727, FIT:530404.3131312337, Tiempo de iteracion: 32.12541317939758,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.414474321288461, T2:1.8047444474880667, T3:0.29553752442997727, FIT:530404.3131312337, Tiempo de iteracion: 32.39677333831787,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.419961036548222, T2:1.6906466200597743, T3:0.2997737339386141, FIT:530383.2532273254, Tiempo de iteracion: 32.54761004447937,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 32.42049431800842,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 31.51386260986328,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 31.41544198989868,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 31.92260479927063,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 33.29897689819336,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 33.76600933074951,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3655599539693237, T2:1.6856715445105177, T3:0.2967962212307573, FIT:528970.0490902344, Tiempo de iteracion: 33.50095009803772,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3697225929220744, T2:1.6867894020409777, T3:0.2985382039147596, FIT:528918.6064014313, Tiempo de iteracion: 33.73294425010681,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3697225929220744, T2:1.6867894020409777, T3:0.2985382039147596, FIT:528918.6064014313, Tiempo de iteracion: 33.52407121658325,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3697225929220744, T2:1.6867894020409777, T3:0.2985382039147596, FIT:528918.6064014313, Tiempo de iteracion: 33.49150562286377,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3697225929220744, T2:1.6867894020409777, T3:0.2985382039147596, FIT:528918.6064014313, Tiempo de iteracion: 33.847495555877686,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3697225929220744, T2:1.6867894020409777, T3:0.2985382039147596, FIT:528918.6064014313, Tiempo de iteracion: 33.77804946899414,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.171080350875854,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.21805715560913,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.44044232368469,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.61851954460144,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.674710512161255,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.45512247085571,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.16298508644104,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.52466678619385,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.471686124801636,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.28348922729492,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.982070207595825,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.44802951812744,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 33.931116342544556,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3754207789721566, T2:1.6833304313778288, T3:0.2969510309284043, FIT:528913.4749750517, Tiempo de iteracion: 34.52574396133423,
