CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.35315862437921, T2: 1.9498874904068666, T3: 2.3384653646549673, FIT: 545890.8611011421, Tiempo de Poblacion: 15.856098413467407,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.2073052289351912, T2: 1.6672056793799348, T3: 1.6206600454027775, FIT: 535528.2014744666, Tiempo de Poblacion: 5.363367080688477,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2760416248392397, T2: 1.7040348113169927, T3: 2.0448603103716696, FIT: 540187.3349385025, Tiempo de Poblacion: 5.496507167816162,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.29034895387737736, T2: 0.1918851722764377, T3: 1.9815655784999902, FIT: 542687.5785566411, Tiempo de Poblacion: 5.447765588760376,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5460690372681577, T2: 0.4049625610643039, T3: 1.7387311709090694, FIT: 544657.1786226198, Tiempo de Poblacion: 5.394683599472046,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.9143432996718118, T2: 1.5233422698323442, T3: 2.4106016720072856, FIT: 528949.6373779346, Tiempo de Poblacion: 5.448546409606934,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6737098522910223, T2: 1.1849297207686895, T3: 2.5689224380887956, FIT: 542009.4748697947, Tiempo de Poblacion: 5.545323610305786,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.3335377494029953, T2: 1.602436863480885, T3: 1.3121131652159728, FIT: 539231.2294759094, Tiempo de Poblacion: 5.41070294380188,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5404512566549853, T2: 0.7805648732281186, T3: 0.41601458265127295, FIT: 557830.431604298, Tiempo de Poblacion: 5.605686902999878,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.21293255990964038, T2: 1.9101762938499462, T3: 0.35703221152482095, FIT: 543858.0770365355, Tiempo de Poblacion: 5.196037292480469,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.49547052383423,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.07528829574585,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 32.258383989334106,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 31.945863008499146,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 32.410584449768066,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.1448814868927,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.72375273704529,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.99690556526184,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.74382567405701,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 33.656933546066284,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.000816345214844,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.027435541152954,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 34.91898560523987,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.10641646385193,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.177669048309326,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.21304416656494,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.1419198513031,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 35.58716917037964,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 34.89918804168701,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9143432996718118, T2:1.5233422698323442, T3:2.4106016720072856, FIT:528949.6373779346, Tiempo de iteracion: 34.96232533454895,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9224556562296359, T2:1.4937497426106567, T3:2.4399913971231615, FIT:528825.9650953038, Tiempo de iteracion: 34.5591356754303,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9224556562296359, T2:1.4937497426106567, T3:2.4399913971231615, FIT:528825.9650953038, Tiempo de iteracion: 35.04926085472107,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9224556562296359, T2:1.4937497426106567, T3:2.4399913971231615, FIT:528825.9650953038, Tiempo de iteracion: 34.896294355392456,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9224556562296359, T2:1.4937497426106567, T3:2.4399913971231615, FIT:528825.9650953038, Tiempo de iteracion: 34.87501311302185,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9290612988264016, T2:1.4937239887586682, T3:2.462351454602808, FIT:528557.230253372, Tiempo de iteracion: 35.75480556488037,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9290612988264016, T2:1.4937239887586682, T3:2.462351454602808, FIT:528557.230253372, Tiempo de iteracion: 34.98050665855408,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9290612988264016, T2:1.4937239887586682, T3:2.462351454602808, FIT:528557.230253372, Tiempo de iteracion: 34.70822787284851,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9290612988264016, T2:1.4937239887586682, T3:2.462351454602808, FIT:528557.230253372, Tiempo de iteracion: 35.356428146362305,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9290612988264016, T2:1.4937239887586682, T3:2.462351454602808, FIT:528557.230253372, Tiempo de iteracion: 34.72948980331421,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9565847954193412, T2:1.494691053243821, T3:2.482017164727229, FIT:528456.6195598339, Tiempo de iteracion: 34.91233682632446,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9565847954193412, T2:1.494691053243821, T3:2.482017164727229, FIT:528456.6195598339, Tiempo de iteracion: 34.83236217498779,
