CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.8418099207961245, T2: 1.9624832770686298, T3: 0.6077714832984025, FIT: 536966.7210853015, Tiempo de Poblacion: 15.638564586639404,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.4162636103945527, T2: 0.6367301075517703, T3: 1.7019382876181017, FIT: 542150.8251228102, Tiempo de Poblacion: 5.219583511352539,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.4368978521473711, T2: 0.22304525846213513, T3: 2.1775021922260858, FIT: 548463.4262598407, Tiempo de Poblacion: 5.400660753250122,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.1307398075062682, T2: 0.6683101863883576, T3: 1.6532768232669826, FIT: 536520.8838960987, Tiempo de Poblacion: 5.262542963027954,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.6178060307902213, T2: 0.6005654647383478, T3: 0.9268298488431402, FIT: 535596.5962627408, Tiempo de Poblacion: 5.071364879608154,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.893623792218172, T2: 1.0326933594132033, T3: 2.1257428582213787, FIT: 538383.6866778863, Tiempo de Poblacion: 5.254305839538574,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.8333486865450817, T2: 0.8523726415028791, T3: 0.6819498496808658, FIT: 542881.3841892305, Tiempo de Poblacion: 5.2904462814331055,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.48396233066236205, T2: 0.3318966301731405, T3: 1.977300673272684, FIT: 548176.1522563503, Tiempo de Poblacion: 5.158341884613037,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6088414180963863, T2: 0.3528978960347987, T3: 2.623304631403908, FIT: 537264.057076095, Tiempo de Poblacion: 5.1983277797698975,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.364514736867133, T2: 0.1929935415141755, T3: 1.8183474706321394, FIT: 543448.9244310079, Tiempo de Poblacion: 5.031377792358398,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.6178060307902213, T2:0.6005654647383478, T3:0.9268298488431402, FIT:535596.5962627408, Tiempo de iteracion: 31.02777075767517,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.656188217624912, T2:0.5886330381997273, T3:0.9295580931690676, FIT:534868.4052192993, Tiempo de iteracion: 30.44673466682434,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.6619011003438495, T2:0.5916282509518725, T3:0.9265892077192348, FIT:534815.6080161214, Tiempo de iteracion: 30.83615756034851,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.6619011003438495, T2:0.5916282509518725, T3:0.9265892077192348, FIT:534815.6080161214, Tiempo de iteracion: 30.75754714012146,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.669252605572646, T2:0.6057500681533347, T3:0.9239277816719309, FIT:534710.6050071515, Tiempo de iteracion: 30.37898349761963,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.669252605572646, T2:0.6057500681533347, T3:0.9239277816719309, FIT:534710.6050071515, Tiempo de iteracion: 31.61180090904236,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.669252605572646, T2:0.6057500681533347, T3:0.9239277816719309, FIT:534710.6050071515, Tiempo de iteracion: 31.904467582702637,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.669252605572646, T2:0.6057500681533347, T3:0.9239277816719309, FIT:534710.6050071515, Tiempo de iteracion: 31.668131828308105,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.669252605572646, T2:0.6057500681533347, T3:0.9239277816719309, FIT:534710.6050071515, Tiempo de iteracion: 31.95060920715332,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.2315692613467077, T2:0.6631460113734889, T3:1.6855909323031841, FIT:534302.1827298551, Tiempo de iteracion: 33.14379668235779,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.2315692613467077, T2:0.6631460113734889, T3:1.6855909323031841, FIT:534302.1827298551, Tiempo de iteracion: 33.372153520584106,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.2315692613467077, T2:0.6631460113734889, T3:1.6855909323031841, FIT:534302.1827298551, Tiempo de iteracion: 33.355241775512695,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.2315692613467077, T2:0.6631460113734889, T3:1.6855909323031841, FIT:534302.1827298551, Tiempo de iteracion: 33.48914670944214,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.2315692613467077, T2:0.6631460113734889, T3:1.6855909323031841, FIT:534302.1827298551, Tiempo de iteracion: 33.01403069496155,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.233168346981349, T2:0.6592833873723585, T3:1.7128552135735393, FIT:534158.6727063778, Tiempo de iteracion: 33.66995072364807,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.233168346981349, T2:0.6592833873723585, T3:1.7128552135735393, FIT:534158.6727063778, Tiempo de iteracion: 33.283170223236084,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.220359563827515,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.02592086791992,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 32.96890449523926,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.37412405014038,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.17880153656006,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 32.99202919006348,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.88153958320618,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.126726388931274,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.76185042116015, T2:0.806558962554057, T3:0.7092335796027674, FIT:533800.7545867822, Tiempo de iteracion: 33.197062253952026,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7523764892753313, T2:0.6142992915026764, T3:0.9319360981358583, FIT:533772.9202824327, Tiempo de iteracion: 33.40856122970581,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7523764892753313, T2:0.6142992915026764, T3:0.9319360981358583, FIT:533772.9202824327, Tiempo de iteracion: 33.362358808517456,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.786018227528891, T2:0.8039629217260146, T3:0.7124346257321822, FIT:533559.9450674179, Tiempo de iteracion: 33.68463182449341,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.786018227528891, T2:0.8039629217260146, T3:0.7124346257321822, FIT:533559.9450674179, Tiempo de iteracion: 34.091517210006714,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.8207406814554914, T2:0.810941482494054, T3:0.7053672814135266, FIT:533420.7272901332, Tiempo de iteracion: 33.44229173660278,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.731695327806763, T2:0.9704302692691357, T3:2.016517779295143, FIT:533307.7886373674, Tiempo de iteracion: 33.39797854423523,
