CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5813407118238796, T2: 1.6197970879111512, T3: 0.2714283077214177, FIT: 545742.5508432864, Tiempo de Poblacion: 15.296987771987915,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.9331879158491116, T2: 2.09439575224914, T3: 2.5419966886923144, FIT: 542268.1279310638, Tiempo de Poblacion: 5.292595863342285,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.1383995075953903, T2: 0.6789125422121813, T3: 2.8904671566673596, FIT: 542257.0380742274, Tiempo de Poblacion: 5.195477485656738,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.2645098672423295, T2: 2.076654949568764, T3: 0.21667013865659046, FIT: 554049.5577301362, Tiempo de Poblacion: 5.2982988357543945,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.14239348707414254, T2: 1.5516602837434395, T3: 0.27374429883998735, FIT: 550725.2240110064, Tiempo de Poblacion: 5.153343677520752,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.222215174578241, T2: 1.819755307922036, T3: 0.5923212022153517, FIT: 536474.9145686441, Tiempo de Poblacion: 5.252538204193115,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.2697898851750264, T2: 2.407755414670366, T3: 2.488523819457536, FIT: 538594.9442993772, Tiempo de Poblacion: 5.4502739906311035,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.8262295561130364, T2: 0.2963396266704543, T3: 0.4803945348668103, FIT: 553161.2724222668, Tiempo de Poblacion: 4.865444660186768,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.8209060551082672, T2: 1.364002195402347, T3: 1.0602525884751735, FIT: 538445.8955653197, Tiempo de Poblacion: 5.2493510246276855,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.11273494044031, T2: 1.1342909068436369, T3: 2.2362613752461566, FIT: 533035.6938703614, Tiempo de Poblacion: 5.3433942794799805,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 32.767181634902954,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 30.777769327163696,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 31.359634399414062,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 30.918906927108765,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 30.894641160964966,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.11273494044031, T2:1.1342909068436369, T3:2.2362613752461566, FIT:533035.6938703614, Tiempo de iteracion: 31.93866229057312,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 31.736937046051025,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 32.477783203125,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 33.03421092033386,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 32.576993227005005,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 32.984843254089355,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1104170239935804, T2:1.1438205634015421, T3:2.2567814358759244, FIT:531785.4235224703, Tiempo de iteracion: 33.294206619262695,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.109707068445907, T2:1.1335281788111724, T3:2.2509805572715353, FIT:531755.1993049878, Tiempo de iteracion: 32.841989278793335,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1184121151352335, T2:1.1258773575087258, T3:2.2432922872304393, FIT:531713.7488493022, Tiempo de iteracion: 33.743271827697754,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1184121151352335, T2:1.1258773575087258, T3:2.2432922872304393, FIT:531713.7488493022, Tiempo de iteracion: 33.59007215499878,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.120795831543801, T2:1.1223646480083505, T3:2.223374914902869, FIT:531623.7564185652, Tiempo de iteracion: 33.420063734054565,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.120795831543801, T2:1.1223646480083505, T3:2.223374914902869, FIT:531623.7564185652, Tiempo de iteracion: 33.37272763252258,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.5313720703125,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.71969985961914,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.914122581481934,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.630654096603394,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 34.04383134841919,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.801867961883545,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.779295682907104,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.85310626029968,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.65912747383118,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.81912040710449,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.69595742225647,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 32.93821978569031,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.50096035003662,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.1014986024020827, T2:1.1302286153985757, T3:2.2056320572862047, FIT:531558.8817796641, Tiempo de iteracion: 33.797276735305786,
