CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.27792253848585263, T2: 0.5500552570189631, T3: 1.6875398326852862, FIT: 544995.6180691314, Tiempo de Poblacion: 15.404672145843506,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.1773604902634855, T2: 1.3421647546396271, T3: 2.2232847324048475, FIT: 533016.0355314624, Tiempo de Poblacion: 5.465192794799805,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.0069779556673373, T2: 1.5390161360690047, T3: 0.07517659291484938, FIT: 547499.3448780568, Tiempo de Poblacion: 5.7316155433654785,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.581543458209852, T2: 1.8205198198806374, T3: 2.0188770179275104, FIT: 545941.0362075795, Tiempo de Poblacion: 5.670693635940552,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.40323862258274, T2: 0.9548728776923081, T3: 2.760694984262543, FIT: 541076.6804409075, Tiempo de Poblacion: 5.074105501174927,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.0059426305372043, T2: 0.11922554818141426, T3: 2.601078753450215, FIT: 529754.5482441828, Tiempo de Poblacion: 5.122189283370972,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.5087870423009782, T2: 1.5381834153494895, T3: 0.6303475630821325, FIT: 537945.6283943745, Tiempo de Poblacion: 5.0312724113464355,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.3443329839748186, T2: 0.527245020007242, T3: 2.697925898923988, FIT: 536412.1053445279, Tiempo de Poblacion: 4.9995176792144775,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.743709717076714, T2: 1.3859058097701917, T3: 1.5762048226735883, FIT: 540607.7603629492, Tiempo de Poblacion: 4.981872797012329,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.879186776373916, T2: 1.2102789732870056, T3: 0.4951461029660794, FIT: 548143.1336762737, Tiempo de Poblacion: 4.995913743972778,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0059426305372043, T2:0.11922554818141426, T3:2.601078753450215, FIT:529754.5482441828, Tiempo de iteracion: 30.898091554641724,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0059426305372043, T2:0.11922554818141426, T3:2.601078753450215, FIT:529754.5482441828, Tiempo de iteracion: 29.491942167282104,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0059426305372043, T2:0.11922554818141426, T3:2.601078753450215, FIT:529754.5482441828, Tiempo de iteracion: 29.53541111946106,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0059426305372043, T2:0.11922554818141426, T3:2.601078753450215, FIT:529754.5482441828, Tiempo de iteracion: 29.593767881393433,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0059426305372043, T2:0.11922554818141426, T3:2.601078753450215, FIT:529754.5482441828, Tiempo de iteracion: 28.88179922103882,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 30.0650315284729,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 29.574406147003174,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 30.440433740615845,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 30.637139797210693,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 30.797444581985474,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 31.23668336868286,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.10811233520508,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.5837287902832,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.16450524330139,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.85038232803345,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.668641805648804,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.48972034454346,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 33.070602893829346,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0188671688887272, T2:0.11992314492143692, T3:2.582411976042641, FIT:529652.0666357724, Tiempo de iteracion: 32.43036890029907,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.60435748100281,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.656853437423706,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.89059853553772,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 33.31895065307617,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.38236427307129,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.372326612472534,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.93281674385071,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.0563531310724252, T2:0.12066131120257437, T3:2.582008056437418, FIT:529643.2728499766, Tiempo de iteracion: 32.669793367385864,
