CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5262482687279328, T2: 0.7792838877410755, T3: 2.5407729264327767, FIT: 534905.2974099661, Tiempo de Poblacion: 22.31005597114563,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.4610237504204115, T2: 0.8949460122106241, T3: 1.1327437116195962, FIT: 541114.7437167963, Tiempo de Poblacion: 7.9426109790802,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.4342436076630496, T2: 0.9703999376385058, T3: 1.8746150973612679, FIT: 535564.4510965145, Tiempo de Poblacion: 7.956866979598999,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.150943866617768, T2: 0.639132988345947, T3: 1.7277346278583858, FIT: 529172.5728354659, Tiempo de Poblacion: 7.707235097885132,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5479269622208169, T2: 0.14875116858418774, T3: 1.6873010535056583, FIT: 544393.5659815086, Tiempo de Poblacion: 7.30066442489624,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.531348530901046, T2: 1.3498057824626577, T3: 2.6590101823863064, FIT: 545191.7394890889, Tiempo de Poblacion: 8.08843445777893,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.27453179845371845, T2: 2.018477617710793, T3: 2.6268946797976804, FIT: 536521.3765483288, Tiempo de Poblacion: 8.314920425415039,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.2629974119244767, T2: 2.067009569245716, T3: 2.6967467914781773, FIT: 539597.7537953111, Tiempo de Poblacion: 7.611028432846069,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.337352035466677, T2: 1.997585542768556, T3: 0.524803617914801, FIT: 531200.5709153638, Tiempo de Poblacion: 7.244511365890503,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.677102947128866, T2: 1.5193377785399398, T3: 1.2632864430124608, FIT: 536073.1098270902, Tiempo de Poblacion: 7.332550525665283,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.150943866617768, T2:0.639132988345947, T3:1.7277346278583858, FIT:529172.5728354659, Tiempo de iteracion: 44.73882031440735,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.5186390833495615, T2:0.7800778936443118, T3:2.541830961718111, FIT:528414.2055557529, Tiempo de iteracion: 41.603442430496216,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.5186390833495615, T2:0.7800778936443118, T3:2.541830961718111, FIT:528414.2055557529, Tiempo de iteracion: 39.455169677734375,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.5186390833495615, T2:0.7800778936443118, T3:2.541830961718111, FIT:528414.2055557529, Tiempo de iteracion: 36.777939796447754,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.5186390833495615, T2:0.7800778936443118, T3:2.541830961718111, FIT:528414.2055557529, Tiempo de iteracion: 38.18451166152954,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.5186390833495615, T2:0.7800778936443118, T3:2.541830961718111, FIT:528414.2055557529, Tiempo de iteracion: 43.415138483047485,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5080027243756684, T2:0.7817093345858755, T3:2.5270685007557496, FIT:528334.0103313307, Tiempo de iteracion: 45.26231098175049,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5080027243756684, T2:0.7817093345858755, T3:2.5270685007557496, FIT:528334.0103313307, Tiempo de iteracion: 43.78430986404419,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.5080027243756684, T2:0.7817093345858755, T3:2.5270685007557496, FIT:528334.0103313307, Tiempo de iteracion: 46.689146757125854,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.2436402093009535, T2:0.6281768055506635, T3:1.7758819600319926, FIT:528218.4062382877, Tiempo de iteracion: 45.253238677978516,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.2436402093009535, T2:0.6281768055506635, T3:1.7758819600319926, FIT:528218.4062382877, Tiempo de iteracion: 46.97561550140381,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.2395122919607853, T2:0.6279740996225649, T3:1.76628541417136, FIT:528185.3928544945, Tiempo de iteracion: 44.16571378707886,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.2796585825161877, T2:0.62493546924539, T3:1.7290501395047535, FIT:527959.0316489658, Tiempo de iteracion: 42.30596303939819,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.296777177584646, T2:0.6243955899309152, T3:1.7236347688515812, FIT:527908.5402740879, Tiempo de iteracion: 44.54025173187256,
