CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.4761958176029877, T2: 1.4657762207208804, T3: 1.5859488679890532, FIT: 545385.7580581442, Tiempo de Poblacion: 14.636915922164917,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.3107224603472845, T2: 1.0052908223134718, T3: 1.148991717806192, FIT: 544502.1151596677, Tiempo de Poblacion: 4.876829147338867,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7173145306374415, T2: 1.9380610286088213, T3: 0.14767889561538244, FIT: 550060.0491943604, Tiempo de Poblacion: 4.599703788757324,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5332725930149742, T2: 1.6473320194337504, T3: 0.6708828926984086, FIT: 546980.7240939, Tiempo de Poblacion: 4.918081521987915,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.7692298975635905, T2: 2.0320663396329897, T3: 0.3119139222984236, FIT: 547056.6940175971, Tiempo de Poblacion: 4.677894353866577,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.5380725316208268, T2: 1.5572870471205833, T3: 0.497174197191445, FIT: 558954.0189640188, Tiempo de Poblacion: 4.784740209579468,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.9411828909486426, T2: 1.3688155493232088, T3: 0.7001560455428678, FIT: 556123.2603794028, Tiempo de Poblacion: 4.698523759841919,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.0943064815953454, T2: 1.0130817224026878, T3: 1.0050100812694645, FIT: 547229.9671683306, Tiempo de Poblacion: 4.878436326980591,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.3131544701105775, T2: 1.323463643928689, T3: 2.2705847478323657, FIT: 550364.3873282756, Tiempo de Poblacion: 4.872945547103882,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.8864391927535988, T2: 0.8417426153697642, T3: 0.4979441155606022, FIT: 563544.7857816945, Tiempo de Poblacion: 4.777038097381592,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3107224603472845, T2:1.0052908223134718, T3:1.148991717806192, FIT:544502.1151596677, Tiempo de iteracion: 29.448131322860718,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.3488515712498588, T2:0.996098716592714, T3:1.1188612908039708, FIT:540306.1377821582, Tiempo de iteracion: 29.507646799087524,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 29.62494468688965,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 29.505601167678833,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 30.006183385849,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 30.123304843902588,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 31.333616018295288,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.361489761630059, T2:0.9968655298475045, T3:1.1079029291010964, FIT:540207.3070797039, Tiempo de iteracion: 31.641265153884888,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7750861716113229, T2:2.0282901006495373, T3:0.30862773104903346, FIT:539158.0953784945, Tiempo de iteracion: 32.21394371986389,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7750861716113229, T2:2.0282901006495373, T3:0.30862773104903346, FIT:539158.0953784945, Tiempo de iteracion: 32.36183714866638,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7750861716113229, T2:2.0282901006495373, T3:0.30862773104903346, FIT:539158.0953784945, Tiempo de iteracion: 32.82672190666199,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7750861716113229, T2:2.0282901006495373, T3:0.30862773104903346, FIT:539158.0953784945, Tiempo de iteracion: 32.891793966293335,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7750861716113229, T2:2.0282901006495373, T3:0.30862773104903346, FIT:539158.0953784945, Tiempo de iteracion: 32.87789177894592,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7790988407922157, T2:2.0265802341704964, T3:0.3061849974933348, FIT:539143.3059446742, Tiempo de iteracion: 33.16471600532532,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7790988407922157, T2:2.0265802341704964, T3:0.3061849974933348, FIT:539143.3059446742, Tiempo de iteracion: 33.2696807384491,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7790988407922157, T2:2.0265802341704964, T3:0.3061849974933348, FIT:539143.3059446742, Tiempo de iteracion: 33.256887674331665,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7790988407922157, T2:2.0265802341704964, T3:0.3061849974933348, FIT:539143.3059446742, Tiempo de iteracion: 33.30657768249512,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7790988407922157, T2:2.0265802341704964, T3:0.3061849974933348, FIT:539143.3059446742, Tiempo de iteracion: 33.219258546829224,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7813377591494266, T2:2.040213647542831, T3:0.30255390305664515, FIT:538953.1444267841, Tiempo de iteracion: 32.80251860618591,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7813377591494266, T2:2.040213647542831, T3:0.30255390305664515, FIT:538953.1444267841, Tiempo de iteracion: 32.60018348693848,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 32.81457471847534,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.2022008895874,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.236709117889404,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 32.84331679344177,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.43486571311951,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 32.80309820175171,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.352548122406006,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.31184220314026,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 32.84462094306946,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.7930030065717253, T2:2.066098148105497, T3:0.301155811820476, FIT:538527.9273527634, Tiempo de iteracion: 33.29123640060425,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.833647220092953, T2:2.0725190372545477, T3:0.29747132523385345, FIT:538428.9439153736, Tiempo de iteracion: 33.83229994773865,
