CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.66022655444175, T2: 2.308847108691205, T3: 0.49118754581868096, FIT: 549463.8567658955, Tiempo de Poblacion: 14.59613037109375,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.921783929846619, T2: 2.1511692933844384, T3: 1.3315471395629748, FIT: 541540.4535542527, Tiempo de Poblacion: 4.770938873291016,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7609844397695255, T2: 2.0870424219990666, T3: 0.43578934603748587, FIT: 547963.1447156157, Tiempo de Poblacion: 4.691846609115601,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2132132812526617, T2: 1.8919891973834337, T3: 2.582244815935936, FIT: 560647.9546082077, Tiempo de Poblacion: 4.964798450469971,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.7423769617844127, T2: 0.9318124861030598, T3: 0.5255669543800744, FIT: 551022.2869074327, Tiempo de Poblacion: 4.786686182022095,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.5450445836118538, T2: 0.5552658110974101, T3: 0.8792079225467337, FIT: 553800.006810321, Tiempo de Poblacion: 4.640555381774902,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.7576595714426784, T2: 2.0087361912600725, T3: 1.415604701389771, FIT: 545169.5755380417, Tiempo de Poblacion: 4.941695213317871,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.3832644442433164, T2: 0.6608107765136686, T3: 2.4519391557548857, FIT: 546328.5886169795, Tiempo de Poblacion: 4.814456939697266,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.9525080291530343, T2: 1.6211394365301666, T3: 2.097627783247976, FIT: 542401.6879452277, Tiempo de Poblacion: 4.802848815917969,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.0509431417860644, T2: 0.34294441792839875, T3: 1.8702650573371422, FIT: 538881.5010194333, Tiempo de Poblacion: 4.584807634353638,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.0509431417860644, T2:0.34294441792839875, T3:1.8702650573371422, FIT:538881.5010194333, Tiempo de iteracion: 30.631109714508057,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0509431417860644, T2:0.34294441792839875, T3:1.8702650573371422, FIT:538881.5010194333, Tiempo de iteracion: 30.06342124938965,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.0509431417860644, T2:0.34294441792839875, T3:1.8702650573371422, FIT:538881.5010194333, Tiempo de iteracion: 28.776949644088745,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.0512889076556617, T2:0.3395765309786192, T3:1.8885770467768634, FIT:538871.2428920165, Tiempo de iteracion: 28.83324408531189,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.026896846706651, T2:0.3389830736535148, T3:1.8996271984234603, FIT:537657.2335347503, Tiempo de iteracion: 28.84438991546631,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 28.674866199493408,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 29.300748586654663,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 34.88166856765747,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 30.260505199432373,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 30.259862899780273,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 31.741942882537842,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 32.503888845443726,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 32.17126250267029,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.0460821439036447, T2:0.33828684719872837, T3:1.8966935176121036, FIT:537470.179199308, Tiempo de iteracion: 33.093822956085205,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0695354154230277, T2:0.34105188624961813, T3:1.8983934014705481, FIT:537245.436056876, Tiempo de iteracion: 33.1400420665741,
