CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.2257965732408875, T2: 2.3261318346891158, T3: 2.2393451156410173, FIT: 537515.4955954059, Tiempo de Poblacion: 14.912142753601074,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.5250007914470682, T2: 1.748672076876532, T3: 1.371025058549429, FIT: 536322.1687036824, Tiempo de Poblacion: 5.192841053009033,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.083952162482208, T2: 1.5587321518111823, T3: 2.012758206381522, FIT: 534097.9271851783, Tiempo de Poblacion: 5.161647796630859,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.16935170569266, T2: 2.442048568230266, T3: 1.474433914432134, FIT: 538586.4176548733, Tiempo de Poblacion: 5.236812591552734,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.431525831080115, T2: 1.0438023248895938, T3: 1.0361126830465697, FIT: 541842.5193831831, Tiempo de Poblacion: 5.182167291641235,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.3685341887227507, T2: 0.9132828247167795, T3: 1.1676073499955189, FIT: 542536.4192985605, Tiempo de Poblacion: 5.12703013420105,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7374363087911523, T2: 1.5443887097103388, T3: 1.2488962278658755, FIT: 541814.5511966158, Tiempo de Poblacion: 5.0047361850738525,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.0436548741113607, T2: 0.09382083820885882, T3: 0.7695748385263393, FIT: 554661.8452678319, Tiempo de Poblacion: 4.935859441757202,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.4203160017529755, T2: 2.2498654986777464, T3: 1.5563254526030068, FIT: 533344.1691891263, Tiempo de Poblacion: 5.102842569351196,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.8841858860067429, T2: 2.1266360062323115, T3: 2.6767764079569663, FIT: 548395.6336608072, Tiempo de Poblacion: 5.124685525894165,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.4203160017529755, T2:2.2498654986777464, T3:1.5563254526030068, FIT:533344.1691891263, Tiempo de iteracion: 32.38751244544983,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.4203160017529755, T2:2.2498654986777464, T3:1.5563254526030068, FIT:533344.1691891263, Tiempo de iteracion: 31.55141043663025,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:1.3854041676968563, T2:2.247917210438139, T3:1.5598187122319476, FIT:533157.0084606669, Tiempo de iteracion: 29.343281507492065,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:1.4117871562621493, T2:2.231597157727987, T3:1.572838268286971, FIT:533126.7295086932, Tiempo de iteracion: 30.400508403778076,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.4261787182941743, T2:2.160240383366707, T3:1.6435210355018701, FIT:530136.5299893679, Tiempo de iteracion: 31.264591217041016,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.4261787182941743, T2:2.160240383366707, T3:1.6435210355018701, FIT:530136.5299893679, Tiempo de iteracion: 32.612224102020264,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.4261787182941743, T2:2.160240383366707, T3:1.6435210355018701, FIT:530136.5299893679, Tiempo de iteracion: 32.23383140563965,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.4261787182941743, T2:2.160240383366707, T3:1.6435210355018701, FIT:530136.5299893679, Tiempo de iteracion: 32.636767864227295,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.4246592181233775, T2:2.165843885404224, T3:1.6403400850763152, FIT:530116.3824491134, Tiempo de iteracion: 34.889036893844604,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.4246592181233775, T2:2.165843885404224, T3:1.6403400850763152, FIT:530116.3824491134, Tiempo de iteracion: 33.076504945755005,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.4246592181233775, T2:2.165843885404224, T3:1.6403400850763152, FIT:530116.3824491134, Tiempo de iteracion: 32.378719329833984,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.4246592181233775, T2:2.165843885404224, T3:1.6403400850763152, FIT:530116.3824491134, Tiempo de iteracion: 32.61112451553345,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.2083807332021324, T2:1.7670577532133644, T3:1.2436144759681493, FIT:530053.1342666087, Tiempo de iteracion: 32.77852487564087,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.2083807332021324, T2:1.7670577532133644, T3:1.2436144759681493, FIT:530053.1342666087, Tiempo de iteracion: 32.93343186378479,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.2083807332021324, T2:1.7670577532133644, T3:1.2436144759681493, FIT:530053.1342666087, Tiempo de iteracion: 33.08184814453125,
