CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.7764200939957728, T2: 2.157463942126367, T3: 0.9883174173948273, FIT: 533329.3214795868, Tiempo de Poblacion: 15.676726818084717,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.3094544120215688, T2: 0.6053162085219921, T3: 0.664717203309247, FIT: 549100.8969189422, Tiempo de Poblacion: 5.923570871353149,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.546934429438187, T2: 0.17344847192572138, T3: 0.3143329325924611, FIT: 535248.9201388125, Tiempo de Poblacion: 5.348440170288086,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.26735769671321724, T2: 0.2177940909223918, T3: 0.9657751121182357, FIT: 558768.7033221332, Tiempo de Poblacion: 5.82382869720459,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.329915194320652, T2: 1.015871205535404, T3: 1.8889070166624065, FIT: 535027.6115251657, Tiempo de Poblacion: 5.597455739974976,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.2889238462613382, T2: 0.40634774540165325, T3: 1.3591480273384546, FIT: 545557.7014863292, Tiempo de Poblacion: 5.708780765533447,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.3238082085044092, T2: 0.3103000671187458, T3: 0.8828646944989279, FIT: 549812.2108145454, Tiempo de Poblacion: 5.891258478164673,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7246937994529613, T2: 1.4891635370599705, T3: 0.9638817738052023, FIT: 544391.4535611408, Tiempo de Poblacion: 5.751467704772949,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5410901342339076, T2: 0.8955772410008633, T3: 1.1400930220335566, FIT: 541408.0267434799, Tiempo de Poblacion: 5.838782548904419,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.668505879826636, T2: 1.3975341623746869, T3: 1.7097505006173133, FIT: 535773.8732150834, Tiempo de Poblacion: 5.8945417404174805,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.7764200939957728, T2:2.157463942126367, T3:0.9883174173948273, FIT:533329.3214795868, Tiempo de iteracion: 30.609801769256592,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.7764200939957728, T2:2.157463942126367, T3:0.9883174173948273, FIT:533329.3214795868, Tiempo de iteracion: 30.939127922058105,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.9369006248479481, T2:2.1276812224393242, T3:0.9676000645459137, FIT:531349.2256890963, Tiempo de iteracion: 31.490359783172607,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.9369006248479481, T2:2.1276812224393242, T3:0.9676000645459137, FIT:531349.2256890963, Tiempo de iteracion: 29.491323471069336,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:1.9369006248479481, T2:2.1276812224393242, T3:0.9676000645459137, FIT:531349.2256890963, Tiempo de iteracion: 30.859031200408936,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.922630357682771, T2:2.1199696650584565, T3:0.9536591288043244, FIT:531230.9459109515, Tiempo de iteracion: 31.515664100646973,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 31.705300092697144,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.248095750808716,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.61522388458252,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 32.91668081283569,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.235283851623535,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 35.49904417991638,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.90531063079834,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 35.1730682849884,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 34.26796865463257,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 34.13676142692566,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 34.14079785346985,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 35.15901446342468,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 34.512163162231445,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.52414608001709,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9334497537851651, T2:2.1135132246371966, T3:0.9358978598942677, FIT:530498.33711945, Tiempo de iteracion: 33.79430341720581,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.9252715861136365, T2:2.122557959037588, T3:0.9345972221479172, FIT:530442.3167888592, Tiempo de iteracion: 34.04183030128479,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.9252715861136365, T2:2.122557959037588, T3:0.9345972221479172, FIT:530442.3167888592, Tiempo de iteracion: 33.996726989746094,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.9252715861136365, T2:2.122557959037588, T3:0.9345972221479172, FIT:530442.3167888592, Tiempo de iteracion: 35.001561641693115,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8940388323344164, T2:2.0985163349898763, T3:0.9216334176503599, FIT:530275.8421092296, Tiempo de iteracion: 34.384647607803345,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8940388323344164, T2:2.0985163349898763, T3:0.9216334176503599, FIT:530275.8421092296, Tiempo de iteracion: 34.045995473861694,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8940388323344164, T2:2.0985163349898763, T3:0.9216334176503599, FIT:530275.8421092296, Tiempo de iteracion: 34.13653802871704,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8940388323344164, T2:2.0985163349898763, T3:0.9216334176503599, FIT:530275.8421092296, Tiempo de iteracion: 33.98531532287598,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8940388323344164, T2:2.0985163349898763, T3:0.9216334176503599, FIT:530275.8421092296, Tiempo de iteracion: 34.09441423416138,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8850394898962441, T2:2.094708697494608, T3:0.9194456971179512, FIT:530232.266472465, Tiempo de iteracion: 34.42024517059326,
