CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.831872088486212, T2: 0.628734750297078, T3: 1.8127050252280508, FIT: 542791.1395263178, Tiempo de Poblacion: 14.716089487075806,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.7142274391560106, T2: 1.857665467577837, T3: 2.847986574961929, FIT: 541249.4923530506, Tiempo de Poblacion: 4.91779088973999,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.0843185691368884, T2: 2.308406048686892, T3: 1.4903147434007615, FIT: 534039.997962868, Tiempo de Poblacion: 4.814481019973755,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5904810924828567, T2: 0.854148067300878, T3: 0.14144390512389765, FIT: 545927.3463411364, Tiempo de Poblacion: 4.700521469116211,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.1007955242223546, T2: 1.895761593858494, T3: 2.572348011476856, FIT: 533498.9717539272, Tiempo de Poblacion: 4.90484881401062,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.5567576812566966, T2: 1.462524176509645, T3: 1.4428315070995295, FIT: 537121.3982918152, Tiempo de Poblacion: 4.89573073387146,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6939351938390494, T2: 0.6945561381784041, T3: 1.3116046761264875, FIT: 534734.9251186977, Tiempo de Poblacion: 4.887894868850708,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.2487496779933216, T2: 1.4970675430629137, T3: 1.2859165008535096, FIT: 533925.9097125715, Tiempo de Poblacion: 4.793492317199707,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.5761877215236023, T2: 2.3406167986151574, T3: 2.092137023292155, FIT: 532202.3332073151, Tiempo de Poblacion: 4.906927585601807,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.7401665279623034, T2: 0.646489825644496, T3: 2.0877167373778653, FIT: 541952.678165252, Tiempo de Poblacion: 4.720776319503784,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5761877215236023, T2:2.3406167986151574, T3:2.092137023292155, FIT:532202.3332073151, Tiempo de iteracion: 32.203076124191284,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5746498719219065, T2:2.3215569280705965, T3:2.0762626849470536, FIT:532126.1488169143, Tiempo de iteracion: 30.51390290260315,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5746498719219065, T2:2.3215569280705965, T3:2.0762626849470536, FIT:532126.1488169143, Tiempo de iteracion: 29.993871212005615,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 29.11944317817688,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 29.140331983566284,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 29.53436255455017,
ITERACION:,9,P1,1.0,P2,3.0,P3,2.0,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 30.211400032043457,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.18035340309143,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.60568881034851,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.40692901611328,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.893954515457153,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.676552057266235,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5694768310852181, T2:2.317240102654145, T3:2.0392059760671266, FIT:529837.0239058026, Tiempo de iteracion: 31.65763211250305,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.567108406776103, T2:2.329240671517589, T3:2.030251695947398, FIT:529788.5143050918, Tiempo de iteracion: 32.260493993759155,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.567108406776103, T2:2.329240671517589, T3:2.030251695947398, FIT:529788.5143050918, Tiempo de iteracion: 32.69367051124573,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5449194026093664, T2:2.3179890819582423, T3:2.0374249422420863, FIT:529785.6152724429, Tiempo de iteracion: 32.10419416427612,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5449194026093664, T2:2.3179890819582423, T3:2.0374249422420863, FIT:529785.6152724429, Tiempo de iteracion: 32.181005239486694,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5449194026093664, T2:2.3179890819582423, T3:2.0374249422420863, FIT:529785.6152724429, Tiempo de iteracion: 32.16861176490784,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5449194026093664, T2:2.3179890819582423, T3:2.0374249422420863, FIT:529785.6152724429, Tiempo de iteracion: 32.33345150947571,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5449194026093664, T2:2.3179890819582423, T3:2.0374249422420863, FIT:529785.6152724429, Tiempo de iteracion: 32.37881541252136,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5462278111580297, T2:2.307259810944362, T3:2.0265435999215766, FIT:529751.8526809184, Tiempo de iteracion: 32.105974435806274,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5387175327765183, T2:2.362095210624078, T3:2.0009821368963423, FIT:529597.3700499453, Tiempo de iteracion: 32.39010787010193,
