CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.165788785122465, T2: 2.143342234626563, T3: 2.039235416100982, FIT: 540638.7969585866, Tiempo de Poblacion: 15.609612464904785,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7071343022286953, T2: 1.8501196401056674, T3: 1.250301339869659, FIT: 541475.8629621614, Tiempo de Poblacion: 5.430363655090332,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.47442546490078175, T2: 0.6027374977508827, T3: 0.09869783994118428, FIT: 563148.2397174162, Tiempo de Poblacion: 5.235405206680298,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.3476705184514883, T2: 2.4155188225631665, T3: 1.5528632654589134, FIT: 533728.2609332792, Tiempo de Poblacion: 5.301352500915527,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.693530750250044, T2: 1.4698929514730064, T3: 0.8090842689697246, FIT: 535560.2236047754, Tiempo de Poblacion: 5.364388704299927,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.6081765341826022, T2: 1.3378478839868355, T3: 0.35288744754602475, FIT: 542919.6582802992, Tiempo de Poblacion: 5.411245822906494,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.6973963605336415, T2: 1.8845313157098613, T3: 0.8400342403814497, FIT: 532062.3989329956, Tiempo de Poblacion: 5.69895601272583,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.366921951690049, T2: 1.6346013460125464, T3: 1.4097573114519852, FIT: 530083.3254543942, Tiempo de Poblacion: 5.6008522510528564,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6213169662690574, T2: 0.9792042959083527, T3: 0.54216505558703, FIT: 532037.7014462525, Tiempo de Poblacion: 5.5647172927856445,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.576195413629498, T2: 0.7583728418009027, T3: 0.726964928162732, FIT: 535467.5040313718, Tiempo de Poblacion: 5.679837942123413,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.366921951690049, T2:1.6346013460125464, T3:1.4097573114519852, FIT:530083.3254543942, Tiempo de iteracion: 34.49232220649719,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.366921951690049, T2:1.6346013460125464, T3:1.4097573114519852, FIT:530083.3254543942, Tiempo de iteracion: 34.446202516555786,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:2.366921951690049, T2:1.6346013460125464, T3:1.4097573114519852, FIT:530083.3254543942, Tiempo de iteracion: 34.475852251052856,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.366921951690049, T2:1.6346013460125464, T3:1.4097573114519852, FIT:530083.3254543942, Tiempo de iteracion: 35.55952858924866,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.366921951690049, T2:1.6346013460125464, T3:1.4097573114519852, FIT:530083.3254543942, Tiempo de iteracion: 35.71969938278198,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3461936207530365, T2:1.6196411655892768, T3:1.410889816019693, FIT:530024.7549651612, Tiempo de iteracion: 35.66603493690491,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3610473683742446, T2:1.616236980625298, T3:1.4104906774111905, FIT:530005.5425615767, Tiempo de iteracion: 35.374561071395874,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3610473683742446, T2:1.616236980625298, T3:1.4104906774111905, FIT:530005.5425615767, Tiempo de iteracion: 35.5404326915741,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3610473683742446, T2:1.616236980625298, T3:1.4104906774111905, FIT:530005.5425615767, Tiempo de iteracion: 36.23981690406799,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.707413119485238, T2:1.5059775570178413, T3:0.8020798333913941, FIT:529985.3006827385, Tiempo de iteracion: 35.66218090057373,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.707413119485238, T2:1.5059775570178413, T3:0.8020798333913941, FIT:529985.3006827385, Tiempo de iteracion: 35.40177083015442,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.371958395248996, T2:1.5971258865215712, T3:1.414180214843676, FIT:529934.7942862521, Tiempo de iteracion: 36.680909156799316,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.371958395248996, T2:1.5971258865215712, T3:1.414180214843676, FIT:529934.7942862521, Tiempo de iteracion: 35.97355651855469,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.712524288460674, T2:1.5026207490482122, T3:0.8043939489802838, FIT:529928.5885628579, Tiempo de iteracion: 36.34254217147827,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.712524288460674, T2:1.5026207490482122, T3:0.8043939489802838, FIT:529928.5885628579, Tiempo de iteracion: 36.705265522003174,
